,level_0,month,freq
1511,another,2019-04,3.0
3469,chitral,2016-06,8.0
4282,congratulations,2019-06,4.0
4510,corruption,2017-02,10.0
4516,corruption,2017-08,9.0
4714,cricket,2016-03,13.0
4953,dams,2018-09,5.0
8365,govt,2016-01,25.0
8372,govt,2016-08,9.0
8374,govt,2016-10,17.0
8380,govt,2017-04,10.0
8381,govt,2017-05,8.0
8389,govt,2018-01,14.0
9614,india,2019-12,6.0
9615,india,2020-01,5.0
9960,international,2019-10,3.0
10058,iojk,2019-10,3.0
10071,iok,2019-08,7.0
10278,jit,2017-06,16.0
10504,kashmiris,2019-10,3.0
10708,kp,2015-10,12.0
10709,kp,2015-11,17.0
10712,kp,2016-02,23.0
10715,kp,2016-05,8.0
10719,kp,2016-09,12.0
10725,kp,2017-03,20.0
10733,kp,2017-11,11.0
10736,kp,2018-02,19.0
12119,membership,2018-03,14.0
12431,modi,2019-10,3.0
12962,nation,2019-06,4.0
13322,ns,2017-01,15.0
13328,ns,2017-07,19.0
13755,overseas,2018-10,3.0
13810,pak,2015-12,12.0
13815,pak,2016-07,14.0
13891,pakistan,2017-12,10.0
13899,pakistan,2018-08,4.0
13901,pakistan,2018-10,3.0
13903,pakistan,2018-12,6.0
13904,pakistan,2019-02,3.0
13905,pakistan,2019-03,4.0
13912,pakistan,2019-11,4.0
13915,pakistan,2020-02,4.0
13976,pakistanis,2018-10,3.0
14333,people,2019-02,3.0
14334,people,2019-03,4.0
14689,pmln,2017-05,8.0
14693,pmln,2017-09,8.0
15168,president,2019-09,4.0
15640,pti,2015-12,12.0
15652,pti,2016-12,10.0
15657,pti,2017-05,8.0
15668,pti,2018-04,12.0
15670,pti,2018-06,8.0
15975,rains,2019-02,3.0
17077,rs,2019-05,8.0
17846,sharif,2016-11,10.0
17888,sharifs,2016-04,14.0
19912,today,2015-12,12.0
19933,today,2017-10,12.0
19940,today,2018-05,8.0
19942,today,2018-07,16.0
19948,today,2019-04,3.0
20685,us,2018-11,4.0
21068,want,2018-08,4.0
21074,want,2019-07,6.0
21553,work,2019-01,3.0
21663,would,2019-01,3.0
